ln;countries;population;yearChange;netChange;density;landArea;migrants;fertRate;medAge;urbanPop;worldShare;GeoId;pop1m
1;Austria;9006398;0,57%;51296;109;82409;65000;1,5;43;57%;0,12%;AT;9
2;Belgium;11589623;0,44%;50295;383;30280;48000;1,7;42;98%;0,15%;BE;11,6
3;Bulgaria;6948445;-0,74%;-51674;64;108560;-4800;1,6;45;76%;0,09%;BG;6,9
4;Croatia;4105267;-0,61%;-25037;73;55960;-8001;1,4;44;58%;0,05%;HR;4,1
5;Cyprus;1207359;0,73%;8784;131;9250;5;1,3;37;67%;0,02%;CY;1,2
6;Czechia;10708981;0,18%;19772;139;77240;22011;1,6;43;74%;0,14%;CZ;10,7
7;Denmark;5792202;0,35%;20326;137;42430;15200;1,8;42;88%;0,07%;DK;5,8
8;Estonia;1326535;0,07%;887;31;42390;3911;1,6;42;68%;0,02%;EE;1,3
9;Finland;5540720;0,15%;8564;18;303890;14000;1,5;43;86%;0,07%;FI;5,5
10;France;65273511;0,22%;143783;119;547557;36527;1,9;42;82%;0,84%;FR;65,3
11;Germany;83783942;0,32%;266897;240;348560;543822;1,6;46;76%;1,07%;DE;83,8
12;Greece;10423054;-0,48%;-50401;81;128900;-16000;1,3;46;85%;0,13%;EL;10,4
13;Hungary;9660351;-0,25%;-24328;107;90530;6000;1,5;43;72%;0,12%;HU;9,7
14;Ireland;4937786;1,13%;55291;72;68890;23604;1,8;38;63%;0,06%;IE;4,9
15;Italy;60461826;-0,15%;-88249;206;294140;148943;1,3;47;69%;0,78%;IT;60,5
16;Latvia;1886198;-1,08%;-20545;30;62200;-14837;1,7;44;69%;0,02%;LV;1,9
17;Lithuania;2722289;-1,35%;-37338;43;62674;-32780;1,7;45;71%;0,03%;LT;2,7
18;Luxembourg;625978;1,66%;10249;242;2590;9741;1,5;40;88%;0,01%;LU;0,6
19;Malta;441543;0,27%;1171;1380;320;900;1,5;43;93%;0,01%;MT;0,4
20;Netherlands;17134872;0,22%;37742;508;33720;16000;1,7;43;92%;0,22%;NL;17,1
21;Poland;37846611;-0,11%;-41157;124;306230;-29395;1,4;42;60%;0,49%;PL;37,8
22;Portugal;10196709;-0,29%;-29478;111;91590;-6000;1,3;46;66%;0,13%;PT;10,2
23;Romania;19237691;-0,66%;-126866;84;230170;-73999;1,6;43;55%;0,25%;RO;19,2
24;Slovakia;5459642;0,05%;2629;114;48088;1485;1,5;41;54%;0,07%;SK;5,5
25;Slovenia;2078938;0,01%;284;103;20140;2000;1,6;45;55%;0,03%;SI;2,1
26;Spain;46754778;0,04%;18002;94;498800;40000;1,3;45;80%;0,60%;ES;46,8
27;Sweden;10099265;0,63%;62886;25;410340;40000;1,9;41;88%;0,13%;SE;10,1
28;United Kingdom;67886011;0,53%;355839;281;241930;260650;1,8;40;83%;0,87%;UK;67,9
